scenario,simulation,observed_homogenization,latent_homogenization,observed_between_change,latent_between_change,observed_group_mean_variance_change,observed_icc_change,latent_icc_change
crystallization_only,1,0.158052,0,0.012473,0,0.004108,0.020312,0
crystallization_only,2,0.130563,0,-0.003029,0,-0.009216,0.010286,0
crystallization_only,3,0.154392,0,-0.008349,0,-0.015673,0.008763,0
crystallization_only,4,0.132627,0,-0.002614,0,-0.008616,0.01291,0
crystallization_only,5,0.175392,0,0.016444,0,0.00718,0.022363,0
crystallization_only,6,0.159084,0,0.006915,0,-2.13e-4,0.019962,0
crystallization_only,7,0.1987,0,-0.002243,0,-0.013415,0.017369,0
crystallization_only,8,0.182057,0,-0.003184,0,-0.01273,0.02195,0
crystallization_only,9,0.148488,0,-0.004355,0,-0.011528,0.014164,0
crystallization_only,10,0.148249,0,0.003435,0,-0.003576,0.014315,0
crystallization_only,11,0.210077,0,0.026033,0,0.014964,0.03366,0
crystallization_only,12,0.164621,0,-0.001051,0,-0.008885,0.011559,0
crystallization_only,13,0.134473,0,0.001611,0,-0.004652,0.016721,0
crystallization_only,14,0.115835,0,-0.020396,0,-0.025784,-0.004977,0
crystallization_only,15,0.108134,0,-0.008868,0,-0.014047,0.005257,0
crystallization_only,16,0.125084,0,0.010857,0,0.004915,0.020837,0
crystallization_only,17,0.142886,0,-0.029159,0,-0.036244,-0.002413,0
crystallization_only,18,0.136352,0,-0.007235,0,-0.013535,0.011635,0
crystallization_only,19,0.144647,0,-0.005674,0,-0.012625,0.017686,0
crystallization_only,20,0.159958,0,0.031394,0,0.023518,0.040232,0
crystallization_only,21,0.125112,0,-0.022018,0,-0.027907,0.001277,0
crystallization_only,22,0.113299,0,-0.021106,0,-0.02661,-0.00448,0
crystallization_only,23,0.137159,0,0.007095,0,5.64e-4,0.017488,0
crystallization_only,24,0.162935,0,0.007942,0,3.3e-5,0.027934,0
crystallization_only,25,0.135778,0,-0.013703,0,-0.020415,-1.04e-4,0
crystallization_only,26,0.074562,0,0.001137,0,-0.002207,0.006015,0
crystallization_only,27,0.162788,0,-0.018537,0,-0.026523,0.009261,0
crystallization_only,28,0.130697,0,0.01612,0,0.01056,0.025258,0
crystallization_only,29,0.155476,0,-0.010968,0,-0.018642,0.007447,0
crystallization_only,30,0.114774,0,-0.003409,0,-0.008353,0.007212,0
crystallization_only,31,0.14543,0,0.010835,0,0.003854,0.01548,0
crystallization_only,32,0.108241,0,-0.042059,0,-0.046732,-0.020849,0
crystallization_only,33,0.159118,0,-0.002597,0,-0.010428,0.009002,0
crystallization_only,34,0.130685,0,-0.002035,0,-0.008185,0.013879,0
crystallization_only,35,0.186334,0,0.018882,0,0.010051,0.033589,0
crystallization_only,36,0.175799,0,0.023,0,0.01463,0.029603,0
crystallization_only,37,0.144721,0,-0.002969,0,-0.010282,0.017509,0
crystallization_only,38,0.082825,0,-0.009766,0,-0.013458,0.005279,0
crystallization_only,39,0.05148,0,0.002565,0,3.09e-4,0.007552,0
crystallization_only,40,0.143737,0,-0.005461,0,-0.012139,0.008283,0
crystallization_only,41,0.129976,0,0.013622,0,0.007406,0.022262,0
crystallization_only,42,0.10646,0,-0.001493,0,-0.006645,0.00489,0
crystallization_only,43,0.108023,0,-0.018301,0,-0.023237,-0.003956,0
crystallization_only,44,0.15632,0,0.009456,0,0.001727,0.016925,0
crystallization_only,45,0.1537,0,0.00621,0,-0.001453,0.016338,0
crystallization_only,46,0.146595,0,-0.008455,0,-0.016241,0.006335,0
crystallization_only,47,0.098284,0,0.003172,0,-0.001538,0.013293,0
crystallization_only,48,0.135732,0,0.011527,0,0.004889,0.025886,0
crystallization_only,49,0.178627,0,6.82e-4,0,-0.008035,0.011783,0
crystallization_only,50,0.21392,0,-0.018143,0,-0.028014,0.010478,0
crystallization_only,51,0.109336,0,-0.018701,0,-0.024014,-0.00388,0
crystallization_only,52,0.119398,0,-4.35e-4,0,-0.006044,0.009198,0
crystallization_only,53,0.170701,0,-0.011043,0,-0.019922,0.00548,0
crystallization_only,54,0.18295,0,0.014217,0,0.005785,0.028753,0
crystallization_only,55,0.134733,0,-0.009632,0,-0.01631,0.003376,0
crystallization_only,56,0.117558,0,-0.00613,0,-0.012035,0.005788,0
crystallization_only,57,0.156343,0,-2.81e-4,0,-0.007863,0.024818,0
crystallization_only,58,0.184412,0,0.011396,0,0.001789,0.028483,0
crystallization_only,59,0.168509,0,-0.010994,0,-0.019059,9.53e-4,0
crystallization_only,60,0.123359,0,0.006474,0,8.54e-4,0.012643,0
crystallization_only,61,0.161252,0,0.020825,0,0.013639,0.030662,0
crystallization_only,62,0.127676,0,-0.004729,0,-0.01062,0.008053,0
crystallization_only,63,0.184453,0,0.002047,0,-0.006939,0.016441,0
crystallization_only,64,0.125468,0,0.01886,0,0.012583,0.025955,0
crystallization_only,65,0.113472,0,-0.002444,0,-0.007715,0.009239,0
crystallization_only,66,0.169787,0,0.00561,0,-0.002147,0.020935,0
crystallization_only,67,0.122993,0,3.64e-4,0,-0.005201,0.01115,0
crystallization_only,68,0.141408,0,0.020075,0,0.013769,0.02744,0
crystallization_only,69,0.173746,0,0.001797,0,-0.006778,0.019753,0
crystallization_only,70,0.132049,0,0.008567,0,0.002348,0.012874,0
crystallization_only,71,0.194976,0,0.008606,0,-0.001185,0.024047,0
crystallization_only,72,0.123617,0,-0.008574,0,-0.01516,0.006957,0
crystallization_only,73,0.151717,0,-0.015915,0,-0.023339,1.71e-4,0
crystallization_only,74,0.112197,0,0.008449,0,0.003071,0.023539,0
crystallization_only,75,0.095072,0,0.006936,0,0.002289,0.013389,0
crystallization_only,76,0.123768,0,-0.012101,0,-0.017974,-0.001164,0
crystallization_only,77,0.109183,0,3.7e-5,0,-0.005117,0.007624,0
crystallization_only,78,0.082572,0,-0.035591,0,-0.03948,-0.017023,0
crystallization_only,79,0.125721,0,0.006196,0,2.04e-4,0.016222,0
crystallization_only,80,0.135591,0,-0.028189,0,-0.03464,-0.006657,0
crystallization_only,81,0.071194,0,-0.014852,0,-0.017775,-6.02e-4,0
crystallization_only,82,0.086155,0,-0.005601,0,-0.009533,0.002827,0
crystallization_only,83,0.147668,0,0.00212,0,-0.00512,0.01031,0
crystallization_only,84,0.187584,0,0.024872,0,0.015265,0.036586,0
crystallization_only,85,0.138214,0,0.013597,0,0.006989,0.024577,0
crystallization_only,86,0.085843,0,0.016377,0,0.012326,0.019027,0
crystallization_only,87,0.112236,0,0.00271,0,-0.002455,0.014437,0
crystallization_only,88,0.142518,0,0.01191,0,0.004715,0.021846,0
crystallization_only,89,0.09857,0,-0.008445,0,-0.012839,0.001946,0
crystallization_only,90,0.166284,0,-0.012594,0,-0.021042,0.00277,0
crystallization_only,91,0.127624,0,0.004903,0,-0.001107,0.018226,0
crystallization_only,92,0.081799,0,-0.039074,0,-0.042843,-0.018522,0
crystallization_only,93,0.155291,0,-0.031314,0,-0.038782,0.00611,0
crystallization_only,94,0.178641,0,-0.004761,0,-0.012885,0.014198,0
crystallization_only,95,0.147111,0,-0.012411,0,-0.018779,-5.79e-4,0
crystallization_only,96,0.105778,0,0.008334,0,0.003538,0.014615,0
crystallization_only,97,0.120788,0,0.017034,0,0.011379,0.025337,0
crystallization_only,98,0.131091,0,-0.004975,0,-0.011398,0.008846,0
crystallization_only,99,0.123509,0,0.025379,0,0.019862,0.033305,0
crystallization_only,100,0.177836,0,-0.00864,0,-0.017145,0.014791,0
crystallization_only,101,0.151201,0,0.009386,0,0.001751,0.017974,0
crystallization_only,102,0.175395,0,-0.01734,0,-0.025569,0.006299,0
crystallization_only,103,0.143661,0,0.006508,0,-5.13e-4,0.00984,0
crystallization_only,104,0.124735,0,0.00839,0,0.00236,0.021333,0
crystallization_only,105,0.146149,0,0.011166,0,0.004539,0.026819,0
crystallization_only,106,0.164258,0,7.58e-4,0,-0.007165,0.013254,0
crystallization_only,107,0.1674,0,0.00779,0,-7.03e-4,0.019055,0
crystallization_only,108,0.159106,0,-0.036971,0,-0.045147,-0.006532,0
crystallization_only,109,0.144645,0,-4.05e-4,0,-0.007481,0.008937,0
crystallization_only,110,0.125952,0,0.005656,0,-9.83e-4,0.014392,0
crystallization_only,111,0.159267,0,0.015006,0,0.007018,0.022013,0
crystallization_only,112,0.141907,0,0.005325,0,-0.001981,0.019815,0
crystallization_only,113,0.129607,0,-0.010861,0,-0.016922,-5.31e-4,0
crystallization_only,114,0.180693,0,0.001743,0,-0.006759,0.019036,0
crystallization_only,115,0.15106,0,0.011282,0,0.003342,0.019715,0
