scenario,metric,metric_label,mean,q025,q975
crystallization_only,observed_homogenization,Observed within-group homogenization,0.139311,0.082553,0.195919
crystallization_only,latent_homogenization,True within-group homogenization,0,0,0
crystallization_only,observed_between_change,Observed between-component change,-6.55e-4,-0.02954,0.024885
crystallization_only,latent_between_change,True between-component change,0,0,0
crystallization_only,observed_group_mean_variance_change,Raw group-mean variance change,-0.007354,-0.038788,0.015287
crystallization_only,observed_icc_change,Observed ICC change,0.012798,-0.007263,0.03196
crystallization_only,latent_icc_change,True ICC change,0,0,0
convergence_only,observed_homogenization,Observed within-group homogenization,0.462975,0.42251,0.499452
convergence_only,latent_homogenization,True within-group homogenization,0.51,0.51,0.51
convergence_only,observed_between_change,Observed between-component change,-3.27e-4,-0.03108,0.027501
convergence_only,latent_between_change,True between-component change,1.96e-4,-0.021186,0.016221
convergence_only,observed_group_mean_variance_change,Raw group-mean variance change,-0.020629,-0.051247,0.006755
convergence_only,observed_icc_change,Observed ICC change,0.070733,0.039297,0.105687
convergence_only,latent_icc_change,True ICC change,0.090153,0.058728,0.11805
divergence_only,observed_homogenization,Observed within-group homogenization,-0.001795,-0.06533,0.056308
divergence_only,latent_homogenization,True within-group homogenization,-0,-0,0
divergence_only,observed_between_change,Observed between-component change,0.232734,0.137635,0.355684
divergence_only,latent_between_change,True between-component change,0.233266,0.134103,0.357194
divergence_only,observed_group_mean_variance_change,Raw group-mean variance change,0.232791,0.137953,0.355922
divergence_only,observed_icc_change,Observed ICC change,0.141415,0.098577,0.185317
divergence_only,latent_icc_change,True ICC change,0.150889,0.100344,0.192974
all_three,observed_homogenization,Observed within-group homogenization,0.564401,0.534862,0.591938
all_three,latent_homogenization,True within-group homogenization,0.51,0.51,0.51
all_three,observed_between_change,Observed between-component change,0.233015,0.138168,0.350694
all_three,latent_between_change,True between-component change,0.233737,0.132874,0.353471
all_three,observed_group_mean_variance_change,Raw group-mean variance change,0.205966,0.112661,0.319975
all_three,observed_icc_change,Observed ICC change,0.307001,0.233781,0.373007
all_three,latent_icc_change,True ICC change,0.306549,0.224349,0.365468
